SOC_Code,Occupation,OCC,Census_Occupation_Title,Group,Group_Name,OCC2010,OCC2010_Occupation_Title
11-1011.00,Chief Executives,10,Chief executives,11,Management Occupations,10,Chief Executives
11-1011.03,Chief Sustainability Officers,10,Chief executives,11,Management Occupations,10,Chief Executives
11-1021.00,General and Operations Managers,20,General and operations managers,11,Management Occupations,20,General and Operations Managers
11-2011.00,Advertising and Promotions Managers,40,Advertising and promotions managers,11,Management Occupations,40,Advertising and Promotions Managers
11-2021.00,Marketing Managers,51,Marketing managers,11,Management Occupations,50,Marketing and Sales Managers
11-2022.00,Sales Managers,52,Sales managers,11,Management Occupations,50,Marketing and Sales Managers
11-2033.00,Fundraising Managers,60,Public relations and fundraising managers,11,Management Occupations,60,Public Relations and Fundraising Managers
11-3012.00,Administrative Services Managers,101,Administrative services managers,11,Management Occupations,100,Administrative Services Managers
11-3013.00,Facilities Managers,102,Facilities managers,11,Management Occupations,100,Administrative Services Managers
11-3013.01,Security Managers,102,Facilities managers,11,Management Occupations,100,Administrative Services Managers
11-3021.00,Computer and Information Systems Managers,110,Computer and information systems managers,11,Management Occupations,110,Computer and Information Systems Managers
11-3031.00,Financial Managers,120,Financial managers,11,Management Occupations,120,Financial Managers
11-3031.01,Treasurers and Controllers,120,Financial managers,11,Management Occupations,120,Financial Managers
11-3031.03,Investment Fund Managers,120,Financial managers,11,Management Occupations,120,Financial Managers
11-3051.00,Industrial Production Managers,140,Industrial production managers,11,Management Occupations,140,Industrial Production Managers
11-3051.01,Quality Control Systems Managers,140,Industrial production managers,11,Management Occupations,140,Industrial Production Managers
11-3051.02,Geothermal Production Managers,140,Industrial production managers,11,Management Occupations,140,Industrial Production Managers
11-3051.03,Biofuels Production Managers,140,Industrial production managers,11,Management Occupations,140,Industrial Production Managers
11-3051.04,Biomass Power Plant Managers,140,Industrial production managers,11,Management Occupations,140,Industrial Production Managers
11-3051.06,Hydroelectric Production Managers,140,Industrial production managers,11,Management Occupations,140,Industrial Production Managers
11-3061.00,Purchasing Managers,150,Purchasing managers,11,Management Occupations,150,Purchasing Managers
11-3071.00,"Transportation, Storage, and Distribution Managers",160,"Transportation, storage, and distribution managers",11,Management Occupations,160,"Transportation, Storage, and Distribution Managers"
11-3071.04,Supply Chain Managers,160,"Transportation, storage, and distribution managers",11,Management Occupations,160,"Transportation, Storage, and Distribution Managers"
11-3111.00,Compensation and Benefits Managers,135,Compensation and benefits managers,11,Management Occupations,135,Compensation and Benefits Managers
11-3121.00,Human Resources Managers,136,Human resources managers,11,Management Occupations,136,Human Resources Managers
11-3131.00,Training and Development Managers,137,Training and development managers,11,Management Occupations,137,Training and Development Managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",205,"Farmers, ranchers, and other agricultural managers",11,Management Occupations,205,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021.00,Construction Managers,220,Construction managers,11,Management Occupations,220,Construction Managers
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",230,Education and childcare administrators,11,Management Occupations,230,Education Administrators
11-9032.00,"Education Administrators, Kindergarten through Secondary",230,Education and childcare administrators,11,Management Occupations,230,Education Administrators
11-9033.00,"Education Administrators, Postsecondary",230,Education and childcare administrators,11,Management Occupations,230,Education Administrators
11-9041.00,Architectural and Engineering Managers,300,Architectural and engineering managers,11,Management Occupations,300,Architectural and Engineering Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,300,Architectural and engineering managers,11,Management Occupations,300,Architectural and Engineering Managers
11-9051.00,Food Service Managers,310,Food service managers,11,Management Occupations,310,Food Service Managers
11-9071.00,Gambling Managers,335,Entertainment and recreation managers,11,Management Occupations,330,Gaming Managers
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",335,Entertainment and recreation managers,11,Management Occupations,330,Gaming Managers
11-9081.00,Lodging Managers,340,Lodging managers,11,Management Occupations,340,Lodging Managers
11-9111.00,Medical and Health Services Managers,350,Medical and health services managers,11,Management Occupations,350,Medical and Health Services Managers
11-9121.00,Natural Sciences Managers,360,Natural sciences managers,11,Management Occupations,360,Natural Sciences Managers
11-9121.01,Clinical Research Coordinators,360,Natural sciences managers,11,Management Occupations,360,Natural Sciences Managers
11-9121.02,Water Resource Specialists,360,Natural sciences managers,11,Management Occupations,360,Natural Sciences Managers
11-9131.00,Postmasters and Mail Superintendents,440,"Managers, all other",11,Management Occupations,400,Postmasters and Mail Superintendents
11-9141.00,"Property, Real Estate, and Community Association Managers",410,"Property, real estate, and community association managers",11,Management Occupations,410,"Property, Real Estate, and Community Association Managers"
11-9151.00,Social and Community Service Managers,420,Social and community service managers,11,Management Occupations,420,Social and Community Service Managers
11-9161.00,Emergency Management Directors,425,Emergency management directors,11,Management Occupations,425,Emergency Management Directors
11-9171.00,Funeral Home Managers,440,"Managers, all other",11,Management Occupations,430,"Managers, All Other"
11-9179.01,Fitness and Wellness Coordinators,335,Entertainment and recreation managers,11,Management Occupations,330,Gaming Managers
11-9179.02,Spa Managers,335,Entertainment and recreation managers,11,Management Occupations,330,Gaming Managers
11-9199.01,Regulatory Affairs Managers,440,"Managers, all other",11,Management Occupations,430,"Managers, All Other"
11-9199.02,Compliance Managers,440,"Managers, all other",11,Management Occupations,430,"Managers, All Other"
11-9199.08,Loss Prevention Managers,440,"Managers, all other",11,Management Occupations,430,"Managers, All Other"
11-9199.09,Wind Energy Operations Managers,440,"Managers, all other",11,Management Occupations,430,"Managers, All Other"
11-9199.10,Wind Energy Development Managers,440,"Managers, all other",11,Management Occupations,430,"Managers, All Other"
